Number-Of-People,Cost-Per-Person
1,1350.0
2,1350.0
3,1350.0
4,1350.0
5,1350.0
6,1350.0
7,1350.0
8,1350.0
9,1350.0
10,1350.0
11,1350.0
12,1330.0
13,1330.0
14,1330.0
15,1330.0
16,1245.625
17,1250.5882352941176
18,1255.0
19,1258.9473684210527
20,1262.5
21,1265.7142857142858
22,1268.6363636363637
23,1271.304347826087
24,1273.75
25,1276.0
26,1278.076923076923
27,1280.0
28,1281.7857142857142
29,1283.448275862069
30,1285.0
31,1286.4516129032259
32,1287.8125
33,1289.090909090909
34,1290.2941176470588
35,1291.4285714285713
36,1292.5
37,1293.5135135135135
38,1294.4736842105262
39,1295.3846153846155
40,1296.25
41,1297.0731707317073
42,1297.857142857143
43,1298.6046511627908
44,1299.3181818181818
45,1300.0
46,1300.6521739130435
47,1301.276595744681
48,1301.875
49,1302.4489795918366
50,1298.0
51,1298.5294117647059
52,1299.0384615384614
53,1299.5283018867924
54,1300.0
55,1300.4545454545455
56,1300.892857142857
57,1301.3157894736842
58,1301.7241379310344
59,1302.1186440677966
60,1302.5
61,1302.8688524590164
62,1303.225806451613
63,1303.5714285714287
64,1303.90625
65,1304.2307692307693
66,1304.5454545454545
67,1304.8507462686566
68,1305.1470588235295
69,1305.4347826086957
70,1305.7142857142858
71,1305.9859154929577
72,1306.25
73,1306.5068493150684
74,1306.7567567567567
75,1307.0
76,1307.2368421052631
77,1307.4675324675325
78,1307.6923076923076
79,1307.9113924050632
80,1308.125
81,1308.3333333333333
82,1308.5365853658536
83,1308.7349397590363
84,1308.9285714285713
85,1309.1176470588234
86,1309.3023255813953
87,1309.4827586206898
88,1309.659090909091
89,1309.8314606741574
90,1310.0
91,1310.1648351648353
92,1310.3260869565217
93,1310.483870967742
94,1310.6382978723404
95,1310.7894736842106
96,1310.9375
97,1311.0824742268042
98,1311.2244897959183
99,1311.3636363636363
100,1296.5
101,1296.6336633663366
102,1296.764705882353
103,1296.893203883495
104,1297.0192307692307
105,1297.142857142857
106,1297.2641509433963
107,1297.3831775700935
108,1297.5
109,1297.6146788990825
110,1297.7272727272727
111,1297.837837837838
112,1297.9464285714287
113,1298.0530973451328
114,1298.157894736842
115,1298.2608695652175
116,1298.3620689655172
117,1298.4615384615386
118,1298.5593220338983
119,1298.6554621848738
120,1298.75
121,1298.8429752066115
122,1298.9344262295083
123,1299.0243902439024
124,1299.1129032258063
125,1299.2
126,1299.2857142857142
127,1299.3700787401574
128,1299.453125
129,1299.5348837209303
130,1299.6153846153845
131,1299.6946564885495
132,1299.7727272727273
133,1299.8496240601503
134,1299.9253731343283
135,1300.0
136,1300.0735294117646
137,1300.14598540146
138,1300.2173913043478
139,1300.2877697841727
140,1300.357142857143
141,1300.4255319148936
142,1300.4929577464789
143,1300.5594405594406
144,1300.625
145,1300.6896551724137
146,1300.7534246575342
147,1300.8163265306123
148,1300.8783783783783
149,1300.9395973154362
150,1301.0
151,1301.0596026490066
152,1301.1184210526317
153,1301.1764705882354
154,1301.2337662337663
155,1301.2903225806451
156,1301.3461538461538
157,1301.4012738853503
158,1301.4556962025317
159,1301.5094339622642
160,1301.5625
161,1301.6149068322982
162,1301.6666666666667
163,1301.717791411043
164,1301.7682926829268
165,1301.8181818181818
166,1301.867469879518
167,1301.9161676646706
168,1301.9642857142858
169,1302.0118343195265
170,1302.0588235294117
171,1302.1052631578948
172,1302.1511627906978
173,1302.1965317919075
174,1302.2413793103449
175,1302.2857142857142
176,1302.3295454545455
177,1302.3728813559321
178,1302.4157303370787
179,1302.4581005586592
180,1302.5
181,1302.5414364640883
182,1302.5824175824175
183,1302.622950819672
184,1302.6630434782608
185,1302.7027027027027
186,1302.741935483871
187,1302.7807486631016
188,1302.8191489361702
189,1302.857142857143
190,1302.8947368421052
191,1302.931937172775
192,1302.96875
193,1303.0051813471503
194,1303.041237113402
195,1303.076923076923
196,1303.1122448979593
197,1303.1472081218274
198,1303.1818181818182
199,1303.21608040201
